time	sDepthWN0	sDFiAdN0	sDepthWN1	sDFiAdN1	sDepthWN2	sDFiAdN2	sDepthWN3	sDFiAdN3	sDepthWN4	sMixDepthWN4	sDFiAdN4	sDepthWN5	sDFiAdN5	sDepthWN6	sDFiAdN6	sDepthWN7	sDFiAdN7	sDepthWN8	sDFiAdN8	sDepthWN9	sDFiAdN9	sDepthWN10	sDFiAdN10	sDepthWN11	sDFiAdN11	sDepthWN110	sDFiAdN110
17884	3	5.610088318	1.2	5.338688015	1.5	6.315277971	1.5	5.626079322	1.5	0	5.484315164	3	5.610088318	3	5.610088318	3	5.610088318	3	5.610088318	3	5.610088318	3	5.610088318	3	5.610088318	3	5.610088318
17885	3	5.690850191	1.2	5.378239332	1.5	6.352049749	1.5	5.657723108	1.5	0	5.510383888	3	5.690850191	3	5.690850191	3	5.690850191	3	5.690850191	3	5.690850191	3	5.690850191	3	5.690850191	3	5.690850191
17886	3	5.692458024	1.2	5.384767357	1.5	6.356582039	1.5	5.662466801	1.5	0	5.515145666	3	5.692458024	3	5.692458024	3	5.692458024	3	5.692458024	3	5.692458024	3	5.692458024	3	5.692458024	3	5.692458024
17887	3	5.693970956	1.2	5.391095309	1.5	6.360938408	1.5	5.667045468	1.5	0	5.519744403	3	5.693970956	3	5.693970956	3	5.693970956	3	5.693970956	3	5.693970956	3	5.693970956	3	5.693970956	3	5.693970956
17888	3	5.695394965	1.2	5.397232757	1.5	6.365128178	1.5	5.671467578	1.5	0	5.524188403	3	5.695394965	3	5.695394965	3	5.695394965	3	5.695394965	3	5.695394965	3	5.695394965	3	5.695394965	3	5.695394965
17889	3	5.696735837	1.2	5.403189046	1.5	6.369160401	1.5	5.675741382	1.5	0	5.528485759	3	5.696735837	3	5.696735837	3	5.696735837	3	5.696735837	3	5.696735837	3	5.696735837	3	5.696735837	3	5.696735837
17890	3	5.697999206	1.2	5.408973317	1.5	6.373043886	1.5	5.679874935	1.5	0	5.532644381	3	5.697999206	3	5.697999206	3	5.697999206	3	5.697999206	3	5.697999206	3	5.697999206	3	5.697999206	3	5.697999206
17891	3	5.699190573	1.2	5.414594522	1.5	6.376787218	1.5	5.683876113	1.5	0	5.536672002	3	5.699190573	3	5.699190573	3	5.699190573	3	5.699190573	3	5.699190573	3	5.699190573	3	5.699190573	3	5.699190573
17892	3	5.700315318	1.2	5.420061431	1.5	6.380398772	1.5	5.687752622	1.5	0	5.540576194	3	5.700315318	3	5.700315318	3	5.700315318	3	5.700315318	3	5.700315318	3	5.700315318	3	5.700315318	3	5.700315318
17893	3	5.70137871	1.2	5.425382646	1.5	6.383886731	1.5	5.69151201	1.5	0	5.54436438	3	5.70137871	3	5.70137871	3	5.70137871	3	5.70137871	3	5.70137871	3	5.70137871	3	5.70137871	3	5.70137871
17894	3	5.702385925	1.2	5.430566607	1.5	6.387259099	1.5	5.695161683	1.5	0	5.548043842	3	5.702385925	3	5.702385925	3	5.702385925	3	5.702385925	3	5.702385925	3	5.702385925	3	5.702385925	3	5.702385925
17895	3	5.703342052	1.2	5.435621605	1.5	6.390523716	1.5	5.698708911	1.5	0	5.551621734	3	5.703342052	3	5.703342052	3	5.703342052	3	5.703342052	3	5.703342052	3	5.703342052	3	5.703342052	3	5.703342052
17896	3	5.704252105	1.2	5.440555793	1.5	6.393688272	1.5	5.702160843	1.5	0	5.55510509	3	5.704252105	3	5.704252105	3	5.704252105	3	5.704252105	3	5.704252105	3	5.704252105	3	5.704252105	3	5.704252105
17897	3	5.705121034	1.2	5.445377191	1.5	6.396760321	1.5	5.705524515	1.5	0	5.558500839	3	5.705121034	3	5.705121034	3	5.705121034	3	5.705121034	3	5.705121034	3	5.705121034	3	5.705121034	3	5.705121034
17898	3	5.705953736	1.2	5.4500937	1.5	6.399747289	1.5	5.70880686	1.5	0	5.561815809	3	5.705953736	3	5.705953736	3	5.705953736	3	5.705953736	3	5.705953736	3	5.705953736	3	5.705953736	3	5.705953736
