days,locatie,O2,Ntot,NH4,Ptot,T,sCHLFa4,PO4,ZICHT,NO3
7,RO601,11.6,1.8,0.078,0.25,,,0.25,,0.93
35,RO601,12.2,1.8,0.03,0.25,,,0.25,,0.96
61,RO601,12.7,2.1,,0.25,,,0.25,,1.09
105,RO601,12.5,2,0.03,0.22,,7.4,0.2,,0.987
131,RO601,11.5,1.9,0.12,0.18,,45,0.12,,0.53
159,RO601,9.8,1.8,,0.16,,5.2,0.14,,0.654
189,RO601,10.9,1.3,0.066,0.11,,5,0.054,,0.15
231,RO601,8.7,1.2,0.091,0.083,,11,0.063,,0.155
257,RO601,8.7,1.3,0.04,0.15,,5.8,0.12,,0.312
287,RO601,8.7,1.5,0.067,0.18,,,0.16,,0.58
313,RO601,9.5,1.5,0.046,0.19,,,0.18,,0.69
341,RO601,10.8,1.6,0.061,0.21,,,0.21,,0.79
369,RO601,11.2,1.6,0.066,0.22,,,0.22,,0.94
8,RO594,14.2,,,,15.4,41,,0.7,
50,RO594,11.1,,,,18.3,5,,0.6,
90,RO594,10.3,,,,19.7,,,1.1,
200,RO594,9.9,,,,21.5,5,,1,
205,RO594,8.8,,,,17,5,,0.7,
313,RO594,10.1,,,,22.6,8.3,,0.7,

