RunId	Time	_sDepthW_	_sDFiAd_	_sDFiJv_	_sDPisc_	_sDVeg_	_sVegHeight_	_sDBent_	_sDRootPhra_	_sDShootPhra_	_sNH4WEpi_	_sNO3WEpi_	_sPO4WEpi_	_sPAIMWEpi_	_sSiO2WEpi_	_sO2WEpi_	_sDDetWEpi_	_sDIMWEpi_	_sDDiatWEpi_	_sDGrenWEpi_	_sDBlueWEpi_	_sDZooEpi_	_sDExtTotT_	_uDepthWEpi_	_uDepthWHyp_	_oO2WHyp_	_uVegHeight_	_oPTotWHyp_	_uPLoad_	_tPDifPO4Hyp_	_aDVeg_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	-1
0	0	2	2.22476	0.902286	0.000247524	0.0469937	2	2.91398	5000	1000	0.85218	8.20288	1.67813	0.000514776	13.0962	19.8845	12.3089	1.33083	0.0306116	0.0564796	0.879328	0.0896672	33486.3	2	0.01	6.91704	2	0.921244	0.001	0	0.0469937	6.70064	1.11724	0.911892	4.48542	0	0	0	0	0	-1
0	10	2	2.29142	0.853876	0.000252259	0.0522956	2	3.04475	5000	1000	0.70132	7.57441	1.54707	0.000226655	12.6458	23.481	11.8334	2.30477	0.0686961	0.078354	0.865011	0.12599	33489.8	2	0.01	6.91704	2	0.921244	0.001	0	0.0522312	6.70064	1.12572	0.840889	4.87503	-7.27596e-012	-1.13687e-013	7.10543e-015	7.10543e-015	0	-1
0	20	2	2.35109	0.813608	0.000256974	0.0574159	2	3.16131	5000	1000	0.604132	6.98624	1.43078	0.000208686	12.2225	24.1383	11.4566	2.29754	0.16999	0.107195	0.818987	0.160672	33492.3	2	0.01	6.91704	2	0.921244	0.001	0	0.0573342	6.70064	1.14333	0.778799	5.40872	-7.27596e-012	-2.27374e-013	1.42109e-014	7.10543e-015	0	-1
0	30	2	2.40849	0.778722	0.000261571	0.0625518	2	3.26218	5000	1000	0.531667	6.44477	1.32523	0.000197667	11.7885	24.5826	11.2148	2.29818	0.507197	0.152116	0.764133	0.20047	33495.2	2	0.01	6.91704	2	0.921244	0.001	0	0.0624738	6.70064	1.12904	0.723622	6.84742	0	-2.27374e-013	7.10543e-015	-7.10543e-015	0	-1
0	40	2	2.47889	0.743279	0.000266719	0.0685362	2	3.35773	5000	1000	0.428039	5.84238	1.20686	0.000190058	11.0584	25.6961	11.2377	2.33392	2.14776	0.235602	0.709882	0.294425	33500.3	2	0.01	6.91704	2	0.921244	0.001	0	0.0684524	6.70064	0.988138	0.666055	13.5986	-7.27596e-012	-1.7053e-013	7.10543e-015	0	0	-1
0	50	2	2.55011	0.721916	0.000271005	0.0730942	2	3.41765	5000	1000	0.268899	5.24532	1.09102	0.000187447	9.76586	28.1384	12.0271	2.40197	6.30016	0.310824	0.680869	0.592847	33509	2	0.01	6.91704	2	0.921244	0.001	0	0.0730289	6.70064	0.725774	0.617231	32.7563	-7.27596e-012	-2.27374e-013	7.10543e-015	1.42109e-014	0	-1
0	60	2	2.64185	0.751426	0.000275175	0.0770731	2	3.44693	5000	1000	0.170364	4.43839	0.960083	0.000188728	7.77726	30.3478	15.1025	2.52162	10.4197	0.281644	0.625285	1.80777	33520.8	2	0.01	6.91704	2	0.921244	0.001	0	0.0770369	6.70064	0.537469	0.561958	54.1623	-1.45519e-011	-1.13687e-013	7.10543e-015	7.10543e-015	0	-1
0	70	2	2.74419	0.868457	0.000278431	0.0793469	2	3.4309	5000	1000	0.25133	3.77658	0.869956	0.000194059	6.17076	29.6319	20.5189	2.68301	8.09024	0.133913	0.523009	4.36809	33527.3	2	0.01	6.91704	2	0.921244	0.001	0	0.0793125	6.70064	0.517255	0.510583	41.9719	-7.27596e-012	-2.27374e-013	2.13163e-014	0	0	-1
0	80	2	2.88755	1.09492	0.000281356	0.082799	2	3.34628	5000	1000	0.484278	3.3688	0.82531	0.000206344	5.23561	26.2306	23.6402	2.9457	3.18999	0.0267356	0.384278	6.08027	33526.6	2	0.01	6.91704	2	0.921244	0.001	0	0.0827447	6.70064	0.595507	0.470898	16.5488	-7.27596e-012	-2.84217e-013	2.13163e-014	7.10543e-015	0	-1
0	90	2	3.07476	1.48215	0.000283448	0.0928332	2	3.15652	5000	1000	0.715956	3.22539	0.814679	0.000228129	5.05862	23.1882	21.6024	3.35006	1.19973	0.00590049	0.283254	5.44043	33523.3	2	0.01	6.91704	2	0.921244	0.001	0	0.0925713	6.70064	0.708273	0.452436	6.48211	-1.45519e-011	-2.84217e-013	1.42109e-014	7.10543e-015	0	-1
